,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
9503,LoonopZand,Buurt,96,BU08093091,222.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4063,Dordrecht,Buurt,67,BU05050202,1046.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2473,hetBildt,Wijk,96,WK006301,-1677.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11554,Oudewater,Buurt,42,BU05890208,134.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6943,Heerlen,Buurt,16,BU09173201,340.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3460,Dalfsen,Buurt,30,BU01480103,1362.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14962,Vlagtwedde,Buurt,6,BU00480508,132.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13548,Terschelling,Buurt,3,BU00930111,317.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13166,Steenwijkerland,Buurt,31,BU17081509,9.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15499,Westland,Buurt,83,BU17830480,-192.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3188,CapelleaandenIJssel,Buurt,60,BU05020112,20.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5053,Etten-Leur,Buurt,23,BU07771003,206.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7311,Hengelo,Wijk,62,WK016406,10188.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16603,Zwolle,Buurt,84,BU01932020,-296.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2876,Boxtel,Buurt,68,BU07570209,149.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
