,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
9503,1004,LoonopZand,BU08093091,1.0,10.0,26.0,60.0,0.0,90.0,20.0,155.0,930.0,800.0,630.0,200.0
4063,1006,Dordrecht,BU05050202,1.0,,,,0.0,90.0,485.0,455.0,520.0,3380.0,2950.0,440.0
2473,1000,hetBildt,WK006301,1.0,70.0,18.0,278.0,2.0,125.0,80.0,185.0,710.0,5570.0,4560.0,1000.0
11554,1008,Oudewater,BU05890208,1.0,6.0,11.0,14.0,1.0,10.0,0.0,40.0,375.0,440.0,400.0,40.0
6943,1008,Heerlen,BU09173201,1.0,,,,0.0,55.0,445.0,445.0,1690.0,1280.0,740.0,540.0
3460,1003,Dalfsen,BU01480103,3.0,57.0,16.0,204.0,0.0,75.0,90.0,140.0,1485.0,4570.0,2860.0,1720.0
14962,1005,Vlagtwedde,BU00480508,1.0,9.0,55.0,113.0,,130.0,0.0,240.0,635.0,400.0,320.0,70.0
13548,1001,Terschelling,BU00930111,1.0,18.0,21.0,81.0,1.0,15.0,0.0,60.0,1085.0,1130.0,810.0,320.0
13166,1005,Steenwijkerland,BU17081509,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
15499,1007,Westland,BU17830480,1.0,8.0,24.0,44.0,,40.0,0.0,50.0,380.0,1210.0,1090.0,120.0
3188,1002,CapelleaandenIJssel,BU05020112,1.0,,,,1.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0
5053,1006,Etten-Leur,BU07771003,1.0,,,,0.0,15.0,130.0,1720.0,1305.0,790.0,540.0,250.0
7311,1002,Hengelo,WK016406,1.0,178.0,,,11.0,115.0,140.0,260.0,895.0,35010.0,27210.0,7810.0
16603,1003,Zwolle,BU01932020,1.0,19.0,15.0,68.0,1.0,40.0,0.0,125.0,1060.0,1030.0,760.0,280.0
2876,1005,Boxtel,BU07570209,1.0,,,,0.0,55.0,0.0,60.0,465.0,480.0,440.0,50.0
1992,1003,Bedum,BU00050006,1.0,18.0,15.0,62.0,0.0,75.0,40.0,115.0,1180.0,480.0,330.0,150.0
1418,1005,Amsterdam,BU03639500,1.0,,,,0.0,120.0,100.0,155.0,940.0,10030.0,7660.0,2380.0
591,1004,AlphenaandenRijn,BU04849603,1.0,88.0,,,1.0,80.0,55.0,120.0,1270.0,6180.0,4220.0,1960.0
11065,1003,Olst-Wijhe,BU17730321,1.0,37.0,22.0,185.0,2.0,65.0,0.0,120.0,960.0,1780.0,1360.0,440.0
6862,1006,Heerhugowaard,WK039812,1.0,15.0,,,3.0,35.0,85.0,205.0,730.0,3450.0,2810.0,650.0
12,1006,AaenHunze,BU16800309,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
13762,1007,Tilburg,BU08553201,3.0,22.0,,,,115.0,120.0,230.0,880.0,3680.0,2870.0,810.0
51,1003,AaenHunze,BU16801609,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
14232,1002,Utrecht,BU03440223,1.0,13.0,,,0.0,65.0,100.0,160.0,410.0,13490.0,12110.0,1390.0
9603,1006,Maasgouw,BU16410001,1.0,80.0,16.0,297.0,3.0,60.0,60.0,175.0,895.0,4080.0,3160.0,920.0
11904,1009,Renswoude,GM0339,,125.0,,,6.0,60.0,40.0,100.0,720.0,16160.0,13240.0,2920.0
7309,1005,Hengelo,BU01640505,1.0,17.0,19.0,74.0,0.0,135.0,270.0,395.0,775.0,3140.0,2530.0,610.0
13905,1004,Tilburg,BU08555901,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,1007,Amsterdam,BU03635402,1.0,9.0,10.0,21.0,,85.0,115.0,120.0,530.0,7880.0,6820.0,1060.0
9454,1009,Lochem,BU02620309,1.0,13.0,18.0,55.0,0.0,80.0,0.0,155.0,920.0,1080.0,840.0,240.0
3831,1009,Dinkelland,BU17741650,1.0,3.0,36.0,24.0,0.0,140.0,0.0,0.0,515.0,240.0,200.0,40.0
3784,1007,Diemen,BU03840222,1.0,63.0,12.0,159.0,1.0,75.0,5.0,125.0,615.0,6810.0,5750.0,1060.0
9979,1006,Meppel,BU01190300,1.0,57.0,,,2.0,115.0,105.0,240.0,1155.0,6670.0,4730.0,1920.0
14740,1001,Venlo,WK098328,1.0,31.0,18.0,118.0,11.0,135.0,170.0,220.0,660.0,2900.0,2420.0,480.0
5350,1004,Geldrop-Mierlo,BU17710009,1.0,6.0,20.0,28.0,0.0,50.0,130.0,115.0,315.0,560.0,520.0,40.0
3432,1009,Cuijk,BU16840209,1.0,22.0,20.0,101.0,1.0,95.0,60.0,225.0,595.0,1060.0,900.0,160.0
10596,1004,Nissewaard,BU19301203,1.0,21.0,10.0,49.0,0.0,125.0,275.0,270.0,605.0,4260.0,3610.0,650.0
